Method,Class,Test Image,Ref Keypoints,Test Keypoints,BF Matches,FLANN Matches,RANSAC Inliers,Ref Time,Test Time
SIFT,botol,test_rot.jpg,58,79,39,39,39,0.14481306076049805,0.15711474418640137
SIFT,botol,test_scale.jpg,58,54,35,35,31,0.14481306076049805,0.13863801956176758
SIFT,botol,test_dark.jpg,58,65,56,56,56,0.14481306076049805,0.15326261520385742
SIFT,botol,test_occ.jpg,58,61,45,45,42,0.14481306076049805,0.14798927307128906
SIFT,mug,test_rot.jpg,62,68,41,41,34,0.15007591247558594,0.15105581283569336
SIFT,mug,test_scale.jpg,62,43,29,29,23,0.15007591247558594,0.19617915153503418
SIFT,mug,test_dark.jpg,62,49,45,45,41,0.15007591247558594,0.16965675354003906
SIFT,mug,test_occ.jpg,62,51,23,23,21,0.15007591247558594,0.1464691162109375
SIFT,buku,test_rot.jpg,298,449,196,198,178,0.14645719528198242,0.13968110084533691
SIFT,buku,test_scale.jpg,298,231,143,143,118,0.14645719528198242,0.14599180221557617
SIFT,buku,test_dark.jpg,298,231,135,135,115,0.14645719528198242,0.1457228660583496
SIFT,buku,test_occ.jpg,298,187,146,146,128,0.14645719528198242,0.14227652549743652
SIFT,remote,test_rot.jpg,571,697,337,337,316,0.14217281341552734,0.14518952369689941
SIFT,remote,test_scale.jpg,571,382,234,236,197,0.14217281341552734,0.1458141803741455
SIFT,remote,test_dark.jpg,571,309,179,181,142,0.14217281341552734,0.14294123649597168
SIFT,remote,test_occ.jpg,571,495,381,381,355,0.14217281341552734,0.14619851112365723
SIFT,mainan,test_rot.jpg,354,416,237,238,230,0.14585161209106445,0.14177846908569336
SIFT,mainan,test_scale.jpg,354,250,190,190,172,0.14585161209106445,0.14863109588623047
SIFT,mainan,test_dark.jpg,354,325,223,225,213,0.14585161209106445,0.14414501190185547
SIFT,mainan,test_occ.jpg,354,288,210,211,202,0.14585161209106445,0.15324640274047852
ORB,botol,test_rot.jpg,392,423,237,236,237,0.5326931476593018,0.010509490966796875
ORB,botol,test_scale.jpg,392,329,166,167,166,0.5326931476593018,0.009965181350708008
ORB,botol,test_dark.jpg,392,393,360,360,360,0.5326931476593018,0.00932621955871582
ORB,botol,test_occ.jpg,392,406,315,316,315,0.5326931476593018,0.008176326751708984
ORB,mug,test_rot.jpg,407,384,248,250,246,0.009766817092895508,0.009130001068115234
ORB,mug,test_scale.jpg,407,300,208,209,207,0.009766817092895508,0.027085065841674805
ORB,mug,test_dark.jpg,407,358,285,284,279,0.009766817092895508,0.009596109390258789
ORB,mug,test_occ.jpg,407,379,174,175,171,0.009766817092895508,0.01161956787109375
ORB,buku,test_rot.jpg,500,500,278,286,274,0.011303901672363281,0.010572195053100586
ORB,buku,test_scale.jpg,500,500,221,228,219,0.011303901672363281,0.010468721389770508
ORB,buku,test_dark.jpg,500,500,346,349,344,0.011303901672363281,0.01048731803894043
ORB,buku,test_occ.jpg,500,500,156,157,155,0.011303901672363281,0.011063337326049805
ORB,remote,test_rot.jpg,500,500,330,336,321,0.010639667510986328,0.011096000671386719
ORB,remote,test_scale.jpg,500,500,220,227,210,0.010639667510986328,0.010727643966674805
ORB,remote,test_dark.jpg,500,500,104,120,98,0.010639667510986328,0.009636878967285156
ORB,remote,test_occ.jpg,500,500,284,291,266,0.010639667510986328,0.010861873626708984
ORB,mainan,test_rot.jpg,500,500,328,334,324,0.010277986526489258,0.010077238082885742
ORB,mainan,test_scale.jpg,500,500,278,281,277,0.010277986526489258,0.010611295700073242
ORB,mainan,test_dark.jpg,500,500,342,349,339,0.010277986526489258,0.010373830795288086
ORB,mainan,test_occ.jpg,500,500,255,257,252,0.010277986526489258,0.010563135147094727
