K,Metric,Accuracy,Precision,Recall,F1-Score,Train Time,Inference Time
1,euclidean,0.7,0.719302380952381,0.7,0.7030350177742668,0.002007007598876953,3.98203182220459
3,euclidean,0.675,0.6916732018299524,0.675,0.6777874458859082,0.002089977264404297,0.029170513153076172
5,euclidean,0.715,0.7244278421126932,0.715,0.7131593635029313,0.0017778873443603516,0.026253223419189453
7,euclidean,0.735,0.7500880952380952,0.735,0.7352083757257833,0.0016255378723144531,0.024151325225830078
9,euclidean,0.73,0.7461408885116014,0.73,0.731526608719588,0.0016236305236816406,0.023101091384887695
11,euclidean,0.705,0.7270914202756308,0.705,0.7055473959717381,0.0013308525085449219,0.024121522903442383
1,manhattan,0.73,0.743929426894944,0.73,0.7331399283164233,0.0015070438385009766,0.06950068473815918
3,manhattan,0.745,0.7542816507448993,0.745,0.7411753603041952,0.0012958049774169922,0.037166595458984375
5,manhattan,0.725,0.7294450937950938,0.725,0.7180533728554148,0.0012636184692382812,0.03705167770385742
7,manhattan,0.725,0.7324378458744729,0.725,0.7223380631070481,0.0013120174407958984,0.04017329216003418
9,manhattan,0.715,0.732452832956628,0.715,0.7110563238946651,0.0011920928955078125,0.039818525314331055
11,manhattan,0.725,0.74610215677952,0.725,0.7235658336113971,0.0011622905731201172,0.11456608772277832
1,minkowski,0.7,0.719302380952381,0.7,0.7030350177742668,0.0012755393981933594,0.019129037857055664
3,minkowski,0.675,0.6916732018299524,0.675,0.6777874458859082,0.0016694068908691406,0.02052021026611328
5,minkowski,0.715,0.7244278421126932,0.715,0.7131593635029313,0.0014846324920654297,0.020962953567504883
7,minkowski,0.735,0.7500880952380952,0.735,0.7352083757257833,0.0013318061828613281,0.022098779678344727
9,minkowski,0.73,0.7461408885116014,0.73,0.731526608719588,0.0013298988342285156,0.021441936492919922
11,minkowski,0.705,0.7270914202756308,0.705,0.7055473959717381,0.0011870861053466797,0.0208127498626709
