Kernel,C,Accuracy,Precision,Recall,F1-Score,Train Time,Inference Time
linear,0.1,0.745,0.7513208152459481,0.745,0.7429785406553506,0.2471024990081787,0.04151344299316406
linear,1.0,0.76,0.7646703880270056,0.76,0.7578348027812085,0.23459196090698242,0.008066177368164062
linear,10.0,0.76,0.7646703880270056,0.76,0.7578348027812085,0.31203222274780273,0.008635520935058594
linear,100.0,0.76,0.7646703880270056,0.76,0.7578348027812085,0.21971464157104492,0.013103008270263672
poly,0.1,0.53,0.5941379792807812,0.53,0.515116648583193,0.44041895866394043,0.013132333755493164
poly,1.0,0.725,0.7847089280974374,0.725,0.7304099815332294,0.3438551425933838,0.015030384063720703
poly,10.0,0.77,0.7923373081841433,0.77,0.7750876863127251,0.4221174716949463,0.01112222671508789
poly,100.0,0.765,0.7829113289760349,0.765,0.7690728702775145,0.3696470260620117,0.011565923690795898
rbf,0.1,0.635,0.627365605084113,0.635,0.587010922806871,0.7004570960998535,0.040752410888671875
rbf,1.0,0.765,0.7735810130776478,0.765,0.7626527170508113,0.6218252182006836,0.031148672103881836
rbf,10.0,0.775,0.780414199268224,0.775,0.7732304145350937,0.5759282112121582,0.03354835510253906
rbf,100.0,0.775,0.780414199268224,0.775,0.7732304145350937,0.5723943710327148,0.033971309661865234
